"id","timestamp","location","gender","age","education","wellness_routine","challenge_wellness_routine","frequency_wellness_routine","duration_wellness_routine","purpose_wellness_routine","location_wellness_routine","simple_target_exercises","nutrition_importance","challenge_nutrition_routine","remote_training_likelihood","online_service_challenges","willingness_to_pay","ideal_subscription_cycle","price_of_service","expertise_credibility","language_instructions","flexibility_time_slots","availability_hybrid_options"
23,2022-11-08 19:14:14.777,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","I follow a regular wellness/fitness routine","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Gym / Studio",1,5,"I follow a balanced diet routine","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode","Rs. 2500-5000","Annual subscription with price discount benefits","Not so important","Very Important","Neutral","Neutral","Neutral"
24,2022-11-08 19:24:09.799,"mumbai","Male","18-24","Undergraduate","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","Less than 15","Weight loss/gain","Home - with equipment",1,5,"I follow a balanced diet routine","I am not interested to try","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Not so important","Very Important","Not so important","Very Important","Important"
25,2022-11-08 19:25:17.905,"vasai","Male","18-24","Undergraduate","Yoga & breathing exercises","Don't know where and how to start, Can't afford to spend on gym/classes subscription, Lack of motivation / time","4 to 5 days a week","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",5,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Weekly subscription at a price slightly higher than monthly subscription","Very Important","Important","Not so important","Very Important","Very Important"
26,2022-11-08 19:35:25.417,"mumbai","Male","18-24","Undergraduate","I don't follow any wellness/fitness routine","Don't know where and how to start, Lack of motivation / time","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","Gym / Studio",3,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don't want to invest in buying any accessories at home","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Very Important","Important","Neutral","Important","Not so important"
27,2022-11-08 19:40:05.706,"mumbai","Male","18-24","Undergraduate","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","Less than 15","Weight loss/gain","Home - without equipment",3,4,"Temptation for junk food","I am interested to try out","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Neutral","Very Important","Not so important","Very Important","Very Important"
28,2022-11-08 19:47:27.377,"mumbai","Male","18-24","College","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","Less than 15","Body building","Home - without equipment",3,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food","I am not interested to try","I don’t think online training is effective","Not more than Rs. 500","Weekly subscription at a price slightly higher than monthly subscription","Important","Important","Important","Important","Important"
29,2022-11-08 19:56:16.429,"mumbai","Male","18-24","College","Meditation/Mindfulness practice","Can't afford to spend on gym/classes subscription, Lack of motivation / time","Occasionally / Rarely","Less than 15","General fitness/strength/flexibility/stamina","Home - without equipment",5,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Annual subscription with price discount benefits","Very Important","Very Important","Important","Important","Important"
30,2022-11-08 20:01:30.664,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Maintaining a proper diet","Daily","More than 60","General fitness/strength/flexibility/stamina","Hybrid - Gym and at Home",5,3,"Lack of understanding what to eat when and in what proportion, Find it too difficult to follow a routine","I have already tried","I don’t think online training is effective","Rs. 500 - 1000","Annual subscription with price discount benefits","Very Important","Important","Important","Important","Important"
31,2022-11-08 20:07:20.834,"mumbai","Female","18-24","High school","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Unavailability of a good gym/classes nearby, Lack of motivation / time","4 to 5 days a week","31-45","Weight loss/gain","Park",2,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I am not interested to try","I don’t think online training is effective, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Annual subscription with price discount benefits","Important","Important","Not so important","Very Important","Important"
32,2022-11-08 20:13:23.585,"mumbai","Male","18-24","College","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine","Daily","More than 60","General fitness/strength/flexibility/stamina","Gym / Studio",2,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, I follow a balanced diet routine","I am not interested to try","Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Annual subscription with price discount benefits","Neutral","Neutral","Neutral","Neutral","Neutral"
33,2022-11-08 20:23:33.443,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time","Once/twice a week (e.g. weekends)","31-45","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",3,4,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I have already tried","Online Fitness Apps are very good if well structured. Like I use Home Workout App and it's good.","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Very Important","Important","Not important at all","Important","Important"
34,2022-11-08 20:50:14.064,"mumbai","Female","18-24","High school","Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Lack of motivation / time","4 to 5 days a week","31-45","Weight loss/gain","Hybrid - Gym and at Home",4,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Very Important","Very Important","Neutral","Neutral"
35,2022-11-08 20:54:44.006,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time","4 to 5 days a week","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",3,5,"Lack of understanding what to eat when and in what proportion, Find it too difficult to follow a routine","I am interested to try out","I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","Not more than Rs. 500","Annual subscription with price discount benefits","Not so important","Not important at all","Not so important","Not so important","Not important at all"
36,2022-11-08 21:02:02.969,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time","4 to 5 days a week","Less than 15","General fitness/strength/flexibility/stamina","Home - without equipment",2,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly","Not more than Rs. 500","Annual subscription with price discount benefits","Very Important","Very Important","Not so important","Neutral","Neutral"
37,2022-11-08 21:08:40.917,"bangalore","Female","18-24","Undergraduate","HIIT exercises from YouTube daily","Lack of motivation / time, I follow a regular wellness/fitness routine","4 to 5 days a week","15-30","Weight loss/gain","Home - with equipment",3,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits","I may try only if I find something very interesting","I don't want to invest in buying any accessories at home","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Neutral","Neutral","Not so important","Neutral","Neutral"
38,2022-11-08 21:16:49.735,"mumbai","Male","18-24","College","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start","Daily","Less than 15","Weight loss/gain","Gym / Studio",1,1,"Lack of understanding what to eat when and in what proportion","I have already tried","I don’t think online training is effective","Not more than Rs. 500","Annual subscription with price discount benefits","Not important at all","Not important at all","Not important at all","Not important at all","Not important at all"
39,2022-11-08 21:20:02.786,"mumbai","Female","18-24","High school","I don't follow any wellness/fitness routine","Lack of motivation / time","Occasionally / Rarely","46-60","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",2,5,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I am not interested to try","I don’t think online training is effective","Not more than Rs. 500","Weekly subscription at a price slightly higher than monthly subscription","Very Important","Very Important","Very Important","Very Important","Very Important"
40,2022-11-08 21:24:47.024,"mumbai","Male","18-24","College","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Lack of motivation / time","Once/twice a week (e.g. weekends)","More than 60","Weight loss/gain","Gym / Studio",4,5,"Find it too difficult to follow a routine","I am interested to try out","I don’t think online training is effective","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Not so important","Very Important","Important","Very Important","Very Important"
41,2022-11-08 21:30:20.432,"mumbai","Male","18-24","College","Yoga & breathing exercises","Unavailability of a good gym/classes nearby","4 to 5 days a week","46-60","General fitness/strength/flexibility/stamina","Hybrid - Gym and at Home",4,4,"My schedule doesn't permit regularity in my eating habits","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Not so important","Not important at all","Not so important","Not important at all","Not important at all"
42,2022-11-08 21:30:55.993,"mumbai","Female","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time","Once/twice a week (e.g. weekends)","31-45","General fitness/strength/flexibility/stamina","Home - without equipment",3,2,"Lack of understanding what to eat when and in what proportion, Temptation for junk food","I may try only if I find something very interesting","I don’t think online training is effective","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Neutral","Important","Not so important","Important","Important"
43,2022-11-08 21:33:51.958,"mumbai","Female","18-24","Undergraduate","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","I follow a regular wellness/fitness routine","4 to 5 days a week","More than 60","General fitness/strength/flexibility/stamina","Gym / Studio",5,5,"Temptation for junk food, Find it too difficult to follow a routine, I follow a balanced diet routine","I may try only if I find something very interesting",NA,"Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Very Important","Very Important","Important","Very Important","Very Important"
44,2022-11-08 21:36:29.454,"mumbai","Male","18-24","High school","Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time","Once/twice a week (e.g. weekends)","15-30","Body building","Home - with equipment",4,4,"Temptation for junk food","I have already tried","I don't want to invest in buying any accessories at home","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Important","Very Important","Neutral","Important","Neutral"
45,2022-11-08 21:43:19.368,"mumbai","Male","18-24","High school","I don't follow any wellness/fitness routine","Don't know where and how to start","Occasionally / Rarely","Less than 15","General fitness/strength/flexibility/stamina","Home - with equipment",1,3,"Lack of understanding what to eat when and in what proportion","I may try only if I find something very interesting","I don’t think online training is effective","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Important","Important","Important","Important"
46,2022-11-08 21:51:01.202,"mumbai","Female","18-24","Undergraduate","Meditation/Mindfulness practice","Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time","Occasionally / Rarely","46-60","Weight loss/gain","Hybrid - Gym and at Home",4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I am interested to try out","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Annual subscription with price discount benefits","Important","Very Important","Neutral","Very Important","Very Important"
47,2022-11-08 22:00:34.19,"kolkata","Female","25-34","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time","4 to 5 days a week","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",3,5,"Temptation for junk food, Find it too difficult to follow a routine","I am not interested to try","I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode","Not more than Rs. 500","Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price","Very Important","Very Important","Important","Very Important","Very Important"
48,2022-11-08 22:26:27.619,"mumbai","Male","45-54","College","Yoga & breathing exercises","Can't find a good trainer/expert practitioner","4 to 5 days a week","31-45","Body building","Home - with equipment",3,3,"Temptation for junk food","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home","Rs. 500 - 1000","Weekly subscription at a price slightly higher than monthly subscription","Neutral","Neutral","Not so important","Important","Important"
49,2022-11-08 22:27:18.748,"mumbai","Male","18-24","Undergraduate","Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner","4 to 5 days a week","31-45","General fitness/strength/flexibility/stamina","Home - with equipment",4,4,"Temptation for junk food","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Not so important","Not so important","Important","Important","Very Important"
50,2022-11-08 22:27:59.969,"mumbai","Male","18-24","College","Yoga & breathing exercises","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription","Once/twice a week (e.g. weekends)","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",4,4,"Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine","I am interested to try out","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home","Rs. 1000-2500","Monthly subscription at a price slightly higher than annual subscription","Neutral","Very Important","Very Important","Very Important","Very Important"
51,2022-11-08 22:28:56.655,"mumbai","Male","18-24","Undergraduate","Yoga & breathing exercises","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner","Once/twice a week (e.g. weekends)","46-60","General fitness/strength/flexibility/stamina","Home - without equipment",4,4,"Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine","I have already tried","Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Neutral","Important","Very Important","Very Important","Very Important"
52,2022-11-08 22:32:16.418,"mumbai","Male","18-24","College","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","I follow a regular wellness/fitness routine","Daily","More than 60","Body building","Gym / Studio",4,5,"My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine","I may try only if I find something very interesting",NA,"Not more than Rs. 500",NA,"Important","Very Important","Neutral","Important","Very Important"
53,2022-11-08 22:34:55.375,"mumbai","Male","18-24","College","Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time","4 to 5 days a week","More than 60","General fitness/strength/flexibility/stamina","Hybrid - Gym and at Home",4,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I may try only if I find something very interesting","I don't have access to right kind of space to practice regularly","Rs. 2500-5000","Monthly subscription at a price slightly higher than annual subscription","Very Important","Very Important","Neutral","Important","Very Important"
54,2022-11-08 22:55:14.979,"palghar","Female","18-24","High school","Light physical activity (running, push-ups, sit-ups etc.)","Lack of motivation / time","Occasionally / Rarely","15-30","General fitness/strength/flexibility/stamina","Home - without equipment",3,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine","I have already tried","I don’t think online training is effective","Not more than Rs. 500","Monthly subscription at a price slightly higher than annual subscription","Neutral","Neutral","Neutral","Neutral","Neutral"
55,2022-11-08 22:55:50.59,"mumbai","Male","18-24","College","Yoga & breathing exercises","Lack of motivation / time","Once/twice a week (e.g. weekends)","15-30","Stress/anxiety reduction and/or attain mindfulness","Home - without equipment",4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine","I may try only if I find something very interesting","Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack","Rs. 500 - 1000","Monthly subscription at a price slightly higher than annual subscription","Important","Very Important","Not so important","Important","Very Important"
